# Document parsed from: Master_List_for_Atlas_Copco-2.xlsx

## Page 1

|Basic Material|Changed By|Business Partner|Organizational Unit|Changed on|Company Created|Created by|Created on|Desc. in English (as of 11.2025)|Old description|Ext. Matl Group|Material group|Material type||Purchasing document|Purchase doc Item|Purchasing org.||Size/Dimension|Vendor||Material|Counter of PO|Counter of Material|PO Value|PO Quantity|
|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|-|
|15-5PH PER WI-|GAP-ENOVIA|Not assigned|Not assigned|10/01/2025|Atlas Copco Comptec LLC|TBI-HEIJERE|09/29/2025|IMPELLER FORGING|#|#|IMPELLER FORGING|ZRH4|Purchased raw material|45834338|10|US02|Comptec|29.00" DIA|1101009109|SCOT FORGE|1314217581|1|1|$ 36,139.10|13.50 "|
|15-5PH Per WI-|GAP-ENOVIA|Not assigned|Not assigned|06/03/2025|Atlas Copco Comptec LLC|TBI-HEIJERE|05/23/2025|IMPELLER, FORGING|#|#|IMPELLER,|ZRH4|Purchased raw material|45821142|10|US02|Comptec|27.0|1100005675|Patriot Forge Corporation|1314214314|1|1|$ 21,820.12|14.75 "|
|17-4 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/19/2025|Atlas Copco Comptec LLC|TBI-LLAZEUS|02/03/2025|ROTOR SLEEVE|#|#|ROTOR|ZHB3|Part made in-house|45814091|60|US02|Comptec|LABY 2.00"ID 2.34"OD W/ SLNG CCW|1100002397|MERIDIAN MANUFACTURING|1314209582|1|1|$ 850.00|1 PC|
|17-4 PH SS CON|TBI-GRUDONN|Not assigned|Not assigned|08/12/2025|Atlas Copco Comptec LLC|TBI-DUDDAVI|08/07/2025|ROUND BAR|#|#|ROUND BAR|ZRH4|Purchased raw material|45827470|20|US02|Comptec|2.50 DIA W/ 1-1/4 HOLE CERT REQD|1100002761|DUTCHESS METAL SUPPLY CORP|1314216306|1|1|$ 2,700.00|36.00 "|
|17-4 PH SS CON|TBI-GRUDONN|Not assigned|Not assigned|11/05/2025|Atlas Copco Comptec LLC|TBI-DUDDAVI|09/30/2025|ROUND BAR|#|#|ROUND BAR|ZRH4|Purchased raw material|45836257|10|US02|Comptec|2.50 DIA W/ 1-1/4 HOLE CERT REQD|1100002761|DUTCHESS METAL SUPPLY CORP|1314217591|1|1|$ 2,160.00|36.00 "|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811503|170|US02|Comptec|5/8 DIA 10F112177 MTR 3.1/USA MA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209864|1|1|$ 63.68|32 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811503|180|US02|Comptec|7/8 DIA 14F150177 MTR 3.1/USA MA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209869|1|1|$ 89.76|16 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811503|190|US02|Comptec|1-1/8 DIA 18F187177 MTR 3.1/USA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209881|1|1|$ 743.04|72 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811503|200|US02|Comptec|FLG 1" SS SOLON MTR 3.1/USA MATE|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209873|1|1|$ 427.20|96 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811503|210|US02|Comptec|1-1/4 DIA MTR 3.1/USA MATERIAL|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209886|1|1|$ 2,554.56|288 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811504|170|US02|Comptec|5/8 DIA 10F112177 MTR 3.1/USA MA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209864|1|1|$ 63.68|32 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811504|180|US02|Comptec|7/8 DIA 14F150177 MTR 3.1/USA MA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209869|1|1|$ 89.76|16 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811504|190|US02|Comptec|1-1/8 DIA 18F187177 MTR 3.1/USA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209881|1|1|$ 743.04|72 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811504|200|US02|Comptec|FLG 1" SS SOLON MTR 3.1/USA MATE|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209873|1|1|$ 427.20|96 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811504|210|US02|Comptec|1-1/4 DIA MTR 3.1/USA MATERIAL|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209886|1|1|$ 2,554.56|288 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811505|170|US02|Comptec|5/8 DIA 10F112177 MTR 3.1/USA MA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209864|1|1|$ 63.68|32 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811505|180|US02|Comptec|7/8 DIA 14F150177 MTR 3.1/USA MA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209869|1|1|$ 89.76|16 PC|
|17-7 PH SS|GAP-ENOVIA|Not assigned|Not assigned|03/06/2025|INEA|INE-SHIABHI|02/17/2025|WASHER, SPRING|#|#|WASHER,|ZRH8|Purchased finished|45811505|190|US02|Comptec|1-1/8 DIA 18F187177 MTR 3.1/USA|1100002488|FASTENAL INDUSTRIAL SUPPLIES|1314209881|1|1|$ 743.04|72 PC|
